MAG	L1	L2	L3	LW1	LW2	LW3	C1	C2	C3	P1	P2	P3	PW1	CW1	CW2	CW3	PW2	PW3
UBA5704 (a)	0.010175669	0.007945984	0.0097386407	0.009507997	0.0114942032	0.012538202	0.023611017	0.021728610	0.021870522	0.026039965	0.028003201	0.029526966	0.0143236920	0.019071634	0.023621046	0.021679173	0.020997364	0.024363330
HGW-15	0.008407407	0.007143323	0.0091516983	0.014857680	0.0203927116	0.015125632	0.017551314	0.013071357	0.017067133	0.009680735	0.009629424	0.011139154	0.0120072257	0.016691252	0.017251656	0.014904520	0.013519760	0.017898017
ZC4RG35 (a)	0.025695036	0.021511649	0.0243990154	0.014376138	0.0135660826	0.020553955	0.030735890	0.026828391	0.030381617	0.031314674	0.029168563	0.033269463	0.0173033149	0.020370483	0.020517980	0.020246051	0.019106975	0.027129432
Micropepsaceae	0.007900318	0.007598157	0.0094773552	0.004968031	0.0051921521	0.005143087	0.013160911	0.015696779	0.012916974	0.012805896	0.012180412	0.012663069	0.0125014081	0.019935852	0.017725684	0.018080502	0.015969147	0.016272852
SZUA-232	0.038197470	0.037041438	0.0382721808	0.017993127	0.0270071204	0.031507114	0.051670286	0.053575816	0.055288638	0.046690066	0.034612750	0.044033997	0.0333319476	0.046986918	0.043921117	0.039480723	0.036235088	0.053355445
Nitriliruptoraceae	0.017685033	0.013356505	0.0184453266	0.004736215	0.0045082184	0.003688718	0.022735829	0.020129622	0.017805303	0.024082569	0.019236632	0.017069475	0.0038864064	0.004014209	0.003939273	0.004290606	0.005699568	0.004448761
E44-bin32 (a)	0.015006430	0.012120749	0.0162748017	0.012162407	0.0165107335	0.020935225	0.030399313	0.018529708	0.028417657	0.018108708	0.018302641	0.020773816	0.0220178290	0.029156742	0.023052074	0.016547212	0.025869495	0.029268042
SZUA-229	0.007613807	0.009209811	0.0109829320	0.008376916	0.0070990842	0.008113699	0.018269170	0.017179637	0.021158193	0.015640201	0.009111616	0.009504008	0.0074686146	0.010778116	0.006820955	0.007122988	0.008543571	0.014353853
JABDQX01	0.009588735	0.007868103	0.0085153596	0.007036468	0.0096701259	0.006749153	0.017071648	0.018955365	0.017151174	0.014625061	0.019213235	0.016036034	0.0187340078	0.027417260	0.026893854	0.025250850	0.019634304	0.033795269
UBA5704 (b)	0.012323189	0.011890694	0.0118407710	0.014314590	0.0137066308	0.012973222	0.023407887	0.025539392	0.022544875	0.023988207	0.026807115	0.026882660	0.0235488782	0.029958047	0.031082993	0.033839165	0.026361131	0.025658372
Pseudonocardiaceae	0.045014652	0.038078375	0.0420846248	0.002038671	0.0116662668	0.003367171	0.037991143	0.054738043	0.034888390	0.026509036	0.018775781	0.019461029	0.0031222229	0.002387106	0.002332625	0.001760619	0.002356137	0.010029270
Balneolaceae (a)	0.003566565	0.003118621	0.0091490161	0.003076169	0.0020116444	0.001710699	0.026676586	0.017355914	0.015769211	0.033744340	0.016851551	0.012024135	0.0019718126	0.000000000	0.000000000	0.000000000	0.002957110	0.001753585
Promineofilaceae (a)	0.012357869	0.011425096	0.0127073269	0.009290559	0.0108229773	0.012677953	0.015251370	0.018607437	0.017307572	0.016936830	0.018260337	0.018654671	0.0202167787	0.026611393	0.017317886	0.012850505	0.024016557	0.021284071
UBA5704 (c)	0.013422052	0.011203905	0.0124373244	0.012204028	0.0144530869	0.013647134	0.021083840	0.022417063	0.019038284	0.018919816	0.026740705	0.026474047	0.0301480357	0.037320592	0.041173283	0.048975751	0.035162083	0.033823310
J153	0.014453369	0.016315776	0.0196936411	0.009773867	0.0089912753	0.008499747	0.021198004	0.022408735	0.028097221	0.021340799	0.019348418	0.020843421	0.0116822409	0.016455207	0.013462442	0.015527071	0.012993940	0.015243134
ZC4RG35 (b)	0.021784093	0.023087422	0.0312027202	0.027293776	0.0241453243	0.030377876	0.033604027	0.036336032	0.041864495	0.044545773	0.039958623	0.039448144	0.0349130632	0.037842869	0.025113760	0.023106613	0.039217584	0.036953937
Woeseiaceae (a)	0.004162774	0.003768897	0.0036309522	0.004709981	0.0052152803	0.005272566	0.007683206	0.008125876	0.006508485	0.006873162	0.008524090	0.009656631	0.0174255754	0.026972784	0.039796356	0.041191377	0.022058807	0.028968788
Nitrososphaeraceae (a)	0.006746613	0.005533147	0.0067882825	0.011634703	0.0114662461	0.008819861	0.010150342	0.011854997	0.008506826	0.011586722	0.017154767	0.015038898	0.0206874925	0.020147885	0.027659432	0.035881341	0.024382520	0.018820758
Nitrososphaeraceae (b)	0.005121103	0.004491144	0.0058017006	0.006283002	0.0067496198	0.005323450	0.006301180	0.008475655	0.006418826	0.006776514	0.007490366	0.006884677	0.0124792805	0.014621834	0.016715335	0.017086409	0.013744465	0.011265404
RKRQ02 (a)	0.028899883	0.026709844	0.0266526867	0.018927203	0.0114164315	0.010832519	0.056408222	0.043241384	0.045287045	0.044264285	0.037605210	0.038920439	0.0200580860	0.021970451	0.024401444	0.023637995	0.022909620	0.015639469
UBA6522 (a)	0.008713274	0.008029141	0.0094923305	0.009059247	0.0111912493	0.010710684	0.018362955	0.016508302	0.016638162	0.016444682	0.022233818	0.023157045	0.0340103030	0.052986500	0.055178994	0.055151059	0.039234173	0.048207088
