mag	differences
70-9 (a)	C_CW_1, C_PW_2
70-9 (b)	NA
Promineofilaceae (a)	LW_PW_2
JABDQX01	CW_L_1, CW_LW_1, LW_PW_2
UBA6522 (d)	CW_L_1, L_PW_2
Hyphomicrobiaceae	NA
Nitrososphaeraceae (a)	CW_L_1, L_PW_2
Woeseiaceae (a)	CW_L_1, CW_LW_1, L_PW_2
UBA6522 (c)	CW_L_1, CW_LW_1, L_PW_2
UBA6522 (a)	CW_L_1, CW_LW_1, L_PW_2
UBA5704 (c)	CW_L_1, CW_LW_1, L_PW_2
UBA6522 (b)	CW_L_1, CW_LW_1, L_PW_2
UBA5704 (b)	CW_L_1, CW_LW_1
SG8-38	CW_L_1
E44-bin32 (a)	NA
UBA11606	NA
UBA6522 (e)	L_LW_2
SG8-13 (b)	L_LW_2
Woeseiaceae (b)	NA
Rhodobacteraceae	CW_L_2, L_PW_1
CECT-8803	CW_L_2, CW_P_2
J153	C_LW_1, LW_P_2
SG8-41	LW_P_2
UBA5704 (a)	L_P_2, LW_P_2
JAENVV01	LW_P_2
ZC4RG35 (a)	NA
ZC4RG35 (b)	NA
SZUA-232	C_LW_1
RKRQ02 (a)	C_P_1, C_LW_1, LW_P_2
Pseudonocardiaceae	C_CW_2, CW_LW_2
RKRQ01	C_PW_1, C_LW_1
Halobacteriales (a)	NA
Halobacteriales (b)	C_LW_1
Balneolaceae (a)	C_CW_2, CW_P_2
Nitriliruptoraceae	NA
SZUA-229	NA
RKSH01	NA
Promineofilaceae (b)	L_LW_2
JAFGWO01	NA
HGW-15	NA
SG8-13 (a)	L_LW_2
UBA8139	L_LW_1
Jiangellales	NA
Micropepsaceae	CW_L_1, CW_LW_1
GWC2-71-9	CW_P_1, CW_L_1, L_PW_2
Methyloligellaceae	CW_L_1, CW_LW_1, L_PW_2
Nitrososphaeraceae (b)	CW_L_1, CW_LW_1, L_PW_2
E44-bin32 (b)	CW_L_1, CW_LW_1, L_PW_2
RKRQ02 (b)	CW_LW_1
UBA4486	CW_L_1, L_PW_2
JACQBZ02	CW_P_2, CW_L_1
DSSB01	NA
UMGS416	C_LW_2, CW_LW_2, LW_PW_1, LW_P_1
SZUA-584	C_LW_2, CW_LW_2, LW_PW_1, LW_P_1
Alkalibacteraceae	C_LW_2, CW_LW_2, LW_PW_1, LW_P_1
Anaerolineaceae	NA
Balneolaceae (b)	C_LW_2, CW_LW_2, LW_PW_1, LW_P_1
GWA1-39-11	C_LW_2, CW_LW_2, LW_PW_1, LW_P_1
Latescibacterales	C_LW_2, CW_LW_2, LW_PW_1, LW_P_1
Desulfobacterales	L_LW_2
QNYZ01	L_LW_2, LW_P_1
HXMU1428-3	C_P_2, L_P_2
Lacipirellulaceae	C_LW_2, CW_LW_2
Cyclobacteriaceae	CW_L_2, CW_LW_2
Flavobacteriaceae	CW_L_2, CW_LW_2, L_P_1
Sporolactobacillaceae (b)	C_L_2, CW_L_2, L_P_1, L_PW_1
Planctomycetaceae	C_L_2, CW_L_2, L_P_1, L_PW_1
SM23-39	C_L_2, CW_L_2, L_P_1, L_PW_1, L_LW_1
Cellulomonadaceae	CW_L_2, L_P_1, L_LW_1, L_P_1
Streptomycetaceae	CW_L_2, L_P_1
Bacillaceae_C	C_L_2, CW_L_2, L_P_1, L_PW_1
Sporolactobacillaceae (a)	C_L_2, C_LW_2, CW_LW_2, CW_L_2, L_P_1, L_PW_1, LW_PW_1, LW_P_1
Domibacillaceae	C_L_2, C_LW_2, CW_LW_2, CW_L_2, L_P_1, L_PW_1, LW_PW_1, LW_P_1
Paenibacillaceae	C_L_2, C_LW_2, CW_LW_2, CW_L_2, L_P_1, L_PW_1, LW_PW_1, LW_P_1
