;Species;kegg;p-value
0;70-9 (a);GH39;3.621296850350234e-05
1;70-9 (b);GT4;0.00011252051561272064
2;Anaerolineaceae;CBM50;0.0002037039520860047
3;Bacillaceae_C;CBM50;5.114391564422243e-09
4;Bacillaceae_C;GH170;0.0
5;Balneolaceae (a);CE3;0.0
6;Balneolaceae (b);GH10;3.0117173334390896e-06
7;Balneolaceae (b);GH53;4.394404961847201e-05
8;CECT-8803;AA3;8.153877491857912e-05
9;Cellulomonadaceae;AA10;1.0221834452069797e-05
10;Cellulomonadaceae;CBM12;0.0
11;Cellulomonadaceae;CBM13;0.0
12;Cellulomonadaceae;CBM2;4.599129039520944e-07
13;Cellulomonadaceae;CBM22;0.0
14;Cellulomonadaceae;CBM32;2.951512543640574e-09
15;Cellulomonadaceae;CBM35;0.0
16;Cellulomonadaceae;CBM5;5.581337302284305e-05
17;Cellulomonadaceae;GH11;0.0
18;Cellulomonadaceae;GH36;5.581337302284305e-05
19;Cellulomonadaceae;GH42;1.5596853598926103e-06
20;Cellulomonadaceae;GH48;0.0
21;Cellulomonadaceae;GH55;0.0
22;Cellulomonadaceae;GH59;0.0
23;Cellulomonadaceae;GH78;0.0
24;Cellulomonadaceae;GH87;0.0
25;Cellulomonadaceae;PL11;0.0
26;Cyclobacteriaceae;GH109;1.135035791140482e-06
27;Cyclobacteriaceae;GH32;1.2457907663863615e-05
28;Cyclobacteriaceae;PL42;0.0
29;DSSB01;GH23;0.0001948834084985249
30;DSSB01;GH24;0.0
31;DSSB01;GH65;0.00014555565701659853
32;Desulfobacterales;GT75;0.0
33;Domibacillaceae;CBM50;2.1215873426561754e-05
34;E44-bin32 (a);GH66;0.0
35;E44-bin32 (a);GH94;0.00013631285413523127
36;E44-bin32 (b);CE1;9.247560162949531e-05
37;GWA1-39-11;GT2;7.785552643818944e-07
38;GWC2-71-9;GH172;5.806774422373461e-05
39;GWC2-71-9;GH30;0.0
40;GWC2-71-9;GH84;0.0
41;GWC2-71-9;GH9;2.5625063603532054e-05
42;GWC2-71-9;GH92;0.0
43;HGW-15;AA4;5.7573505311490544e-06
44;HGW-15;GT81;9.29058409517125e-06
45;Halobacteriales (a);GT66;0.0
46;Halobacteriales (b);GH26;1.6622474234871612e-05
47;Halobacteriales (b);GH67;7.821618843694307e-06
48;Halobacteriales (b);GH81;0.0
49;Hyphomicrobiaceae;CE4;6.803236036390836e-06
