Query_ID;Subject_ID;Percentage_Identity;Alignment_Length;Mismatches;Gap_Openings;Query_Start;Query_End;Subject_Start;Subject_End;E-value;BitScore;treatments
k99_22552_1;101;51.5;68;26;2;140;202;2;67;6.69e-15;64.3;C
k99_31988_1;IS12;58.3;96;40;0;7;102;77;172;6.99e-38;122.0;C
k99_31988_1;IS10;56.3;96;42;0;7;102;77;172;4.99e-37;120.0;C
k99_61093_1;IS12;53.3;169;77;2;7;174;45;212;7.419999999999999e-52;161.0;C
k99_61093_1;IS10;51.9;158;74;2;6;162;44;200;3.67e-48;151.0;C
k99_70964_1;PpEst;54.0;113;52;0;2;114;21;133;3.53e-40;125.0;C
k99_78308_1;Est18_23;55.3;114;50;1;1;113;126;239;2.54e-33;113.0;C
k99_78308_1;BsEstB;62.0;92;33;1;1;92;128;217;2.31e-31;107.0;C
k99_78308_1;101;59.1;93;36;1;1;91;52;144;4.58e-28;96.7;C
k99_80739_1;PpEst;55.7;97;43;0;21;117;19;115;6.04e-37;117.0;C
k99_83057_1;Est18_23;51.1;135;63;1;4;138;2;133;6.72e-44;142.0;C
k99_88351_2;PpEst;59.1;88;36;0;16;103;16;103;5.5800000000000005e-33;106.0;C
k99_96571_1;IS12;50.0;92;44;2;57;148;45;134;8.37e-25;89.7;C
k99_97855_1;PpEst;61.5;96;37;0;7;102;16;111;1.78e-39;123.0;C
k99_101650_1;PET30;52.0;50;20;2;87;136;61;106;9.16e-11;50.4;C
k99_103289_1;IS10;53.3;75;35;0;4;78;143;217;1.69e-17;67.8;C
k99_110049_4;IS12;50.2;235;111;3;107;338;51;282;2.17e-68;211.0;C
k99_111096_2;202;61.5;39;15;0;290;328;38;76;6.8e-08;46.6;C
k99_122354_1;IS10;52.0;179;84;1;8;184;77;255;1.08e-59;181.0;C
k99_122354_1;IS12;50.3;179;87;1;8;184;77;255;8.59e-57;174.0;C
k99_128402_1;IS12;57.8;147;61;1;1;146;70;216;2.6e-56;171.0;C
k99_128402_1;IS10;50.7;148;71;2;1;146;69;216;1.16e-47;149.0;C
k99_130009_1;IS12;56.7;97;39;2;108;202;51;146;1.9800000000000002e-29;103.0;C
k99_137701_1;Est18_23;52.2;136;58;4;1;133;79;210;3.04e-41;135.0;C
k99_147939_1;Est18_23;56.7;141;59;2;6;146;78;216;2.08e-48;155.0;C
k99_147939_1;101;52.1;144;62;2;8;146;2;143;1.07e-44;141.0;C
k99_147939_1;BsEstB;53.2;141;61;2;6;146;80;215;4.54e-44;143.0;C
k99_147939_1;102;51.0;143;65;4;6;146;85;224;1.29e-41;133.0;C
k99_157647_1;IS12;58.2;79;33;0;55;133;49;127;4.2000000000000004e-29;100.0;C
k99_158722_1;Est18_23;63.9;83;29;1;53;134;118;200;2.0600000000000002e-27;97.8;C
k99_158722_1;BsEstB;56.1;82;34;1;53;134;120;199;1.1399999999999999e-24;90.1;C
k99_158722_1;101;52.4;84;38;2;53;134;44;127;1.55e-20;77.4;C
k99_165169_1;IS12;54.6;97;44;0;1;97;212;308;3e-30;102.0;C
k99_174800_2;202;59.5;37;15;0;39;75;35;71;2.88e-09;49.3;C
k99_182937_2;Est8_89;52.3;88;42;0;2;89;177;264;3.93e-28;95.5;C
k99_196470_1;IS12;58.0;50;20;1;102;150;45;94;3.1e-12;55.1;C
k99_210467_1;PpEst;53.9;141;65;0;1;141;61;201;5.52e-54;162.0;C
k99_212800_1;IS11;51.6;124;60;0;2;125;329;452;1.13e-42;138.0;C
k99_235040_1;IS12;50.4;113;56;0;12;124;105;217;6.27e-34;112.0;C
